,Year,Song,Singer,Lyrics,Genre
459,2014,No Flex Zone,Rae Sremmurd,"[Intro] Mike WiLL Made-It EarDrummers  [Chorus: Swae Lee] (Hey) No flex zone, (Hey) no flex zone (Hey) They know better, (Hey) they know better (Hey) No flex zone, (Hey) no flex zone (Hey) They know better, (Hey) they know better  Won a gold medal, and a gold bezel  I treat these hoes special, now ya ho jealous Freak hoes, got several, they tens or better  I'm a trendsetter, I'm a go-getter   [Verse 1: Swae Lee] Swae Lee, Lee Swae, it's the same difference (Preach!)  H2O, lean, same thing (Woo!)  Niggas throw sets and gangbang (Yo!)  Free everybody in the chain gang (Chain gang)  It's been two days since I laid down (Word!)  Kool Moe Dee, five chains on (Six!)  Mr. T, them rings on, (Come on!) say my fucking name, ho (Hey!)  Yeah, them diamonds so cool, yeah, that old school mine fo'  Never heard about you, all my hoes, they so rude  Tats all on me, nigga, trill-ass individual Go and check on that nigga, sit on my Balmain zipper  Got a airtight schedule, fuck your bitch, just met her  Pink slip, no rental, got a L full of that killer  Beating on my chest like Magilla (Stand Back) Nigga I am the gorilla of the village Pack sound like heavy metal Just killed the haters, God bless them  [Chorus: Swae Lee] (Hey) No flex zone, (Zone) no flex zone (Hey) They know better, (Hey) they know better (Hey) No flex zone, (Hey) no flex zone (Hey) They know better, (Hey) they know better  Won a gold medal, and a gold bezel  I treat these hoes special, now ya ho jealous Freak hoes, got several, they tens or better  I'm a trendsetter, I'm a go-getter   [Verse 2: Slim Jxmmi] Young niggas got to get to the money  Five chains, so they look at me funny  Showed up with the juice and the troops Roll a seven every time I shoot  She said, ""Why you got so many condoms with you?"" I say, ""I'm a player, to be honest with you""  Hublot, woo, so shiny  Mind you, my crew right behind me Went shopping, could've bought an island  Talking money when I'm with Italians  Spilling purple on the red carpet  And I'm flyer than that nigga on the hang glider  Four, five, six, seven chains on, just stay in your lane, ho  Don't you like these A. Wang's? Don't you like these gold fangs?  You a well-known flexer, I'm a young trendsetter  These hoes, they reckless, they slick, they messy  Three hoes freak dancing, wit' the loud, singing acapella  Chain clang like heavy metal  Sremm killed the haters, God bless them ",
460,2014,Perfect Storm,Brad Paisley,"If she was a drink She'd be a single-barrelled Bourbon on ice Smooth with a kick A chill and a burn all at the same time    She's Sunday drive meets High speed chase She ain't just a song She's the whole mixtape  She's so complicated That's the way God made her Sunshine mixed with a little hurricane   And she destroys me in that t-shirt And I love her so much it hurts I never meant to fall like this She don't just rain she pours That girl right there's the perfect storm   I know how to make her laugh Or blush, or mad at me But that's okay there ain't no one more beautiful angry  [Pre-Chorus 2] And she loves just as deep As she goes when she's down The highs match the lows Can't have one without the other And I love her just the way God made her Sunshine mixed with a little hurricane    And she destroys me in that t-shirt And I love her so much it hurts I never meant to fall like this But she don't just rain she pours That girl right there's the perfect storm   She's the girl of a lifetime A guy like me spends his whole life Looking for, that girl right there's the perfect storm  Woah-oh-oh Woah-oh-oh She destroys me in that t-shirt ",
461,2014,i,Kendrick Lamar,"[Produced by Rahki]  [Directed by Alexandre Moors and the Little Homies]   [Intro: Kendrick Lamar & Ronald Isley] Is this mic on? (Hey, move this way, this way) Hey, Hey! Hey! Turn the mic up, c'mon, c'mon Is the mic on or not? I want the mic We're bringing up nobody, nobody Nobody but the number one rapper in the world He done traveled all over the world He came back just to give you some game All of the little boys and girls, come up here (Ah, one two, one two, what's happening, fool?) Come right here, this is for you, come on up  I done been through a whole lot (Kendrick Lamar!) Trial, tribulation, but I know God  The Devil wanna put me in a bow tie (Make some noise, brother!) Pray that the holy water don't go dry  As I look around me So many motherfuckers wanna down me But enemigo never drown me  In front of a dirty double-mirror they found me   [Chorus: Kendrick Lamar] And (I love myself) Huh, when you lookin' at me, tell me what do you see? (I love myself) Ahh, I put a bullet in the back of the back of the head of the police (I love myself) Uh, illuminated by the hand of God, boy, don't seem shy (I love myself) One day at a time, huh  [Verse 1: Kendrick Lamar] They wanna say it's a war outside, bomb in the street Gun in the hood, mob of police Rock on the corner with a line for the fiend And a bottle full of lean and a model on the scheme, uh  These days of frustration keep y'all on tuck and rotation (Come to the front, yeah)  I duck these cold faces, post up fi-fie-fo-fum basis  Dreams of reality's peace (Oh, yeah) Blow steam in the face of the beast  Sky could fall down, wind could cry now  Look at me motherfucker I smile-   [Chorus: Kendrick Lamar] And (I love myself) Uh, and when you lookin' at me, tell me what do you see? (I love myself) Ahh, I put a bullet in the back of the back of the head of the police (I love myself) Illuminated— All ya'll come to the front, ya'll come up to the front (I love myself) Baby, what about you? Come on   [Verse 2: Kendrick Lamar] (Crazy, what you gon' do?) Lift up your head and keep moving, (Keep moving) turn the mic up (Haunt you)  Peace to fashion police, I wear my heart On my sleeve, let the runway start  You know the miserable do love company What do you want from me and my scars?  Everybody lack confidence, everybody lack confidence How many times my potential was anonymous? How many times the city making me promises?  So I promise this, nigga ",
462,2014,Do They Know It's Christmas? (2014),Band Aid 30,"[Verse 1: One Direction, Ed Sheeran, Rita Ora & Sam Smith] It’s Christmastime and there’s no need to be afraid  At Christmastime, we let in light, and we banish shade And in our world of plenty we can spread a smile of joy Throw your arms around the world at Christmastime  [Verse 2: Paloma Faith, Emeli Sandé, Guy Garvey, Dan Smith, Angélique Kidjo, Chris Martin, Bono] But say a prayer, and pray for the other ones At Christmastime, it’s hard but while you’re having fun There’s a world outside your window, and it’s a world of dread and fear Where a kiss of love can kill you and there’s death in every tear  And the Christmas bells that ring there are the clanging chimes of doom  Well tonight we’re reaching out and touching you  [Verse 3: Seal, Ellie Goulding, Sinead O'Connor, Bono] Bring peace and joy this Christmas to West Africa A song of hope where there's no hope tonight  Why is to comfort to be feared Why is to touch is to be scared How can they know it’s Christmastime at all?  [Bridge: All, Olly Murs, All, Sam Smith, Rita Ora] Here’s to you Raise a glass to everyone And here’s to them And all their years to come How can they know it’s Christmastime at all?  [Chorus: All] Feed the world, let them know it's Christmastime again Feed the world, let them know it's Christmastime again Heal the world, let them know it's Christmastime again  Feed the world, let them know it's Christmastime again Heal the world, let them know it's Christmastime again  Heal the world, let them know it's Christmastime again  Feed the world, let them know it's Christmastime again Heal the world, let them know it's Christmastime again  Heal the world ",
463,2014,Neon Light,Blake Shelton,"[Click here to read how Blake’s favorite bar inspired “Neon Light”]    Ever since you left me I've been ridin' 'round, cranking up a little country gold heartbreak Cried and dried these tears I don't know how much more missin' you I can take    I prayed, prayed, prayed For a sign, sign, sign Now there it is in the window It's about time, damn time    There's a neon light at the end of the tunnel It ain't all that bright, but even though it's subtle It's got me feeling alright, go on and make it a double  There's a neon light at the end of the tunnel, tunnel, tunnel   I take a shot of I don't care what you're doing now Chase that one with a cold screw you When that's done, I just might wash it down With a big pitcher of someone new  [Pre-Chorus 2] That blond blonde blonde At the bar, bar, bar See if she wants to try and unbreak my heart, heart, heart    There's a neon light at the end of the tunnel It ain't all that bright, but even though it's subtle It's got me feeling alright, go on and make it a double  There's a neon light at the end of the tunnel, tunnel, tunnel   When we were together I thought life would suck forever Even though I knew better than the pain would never end  They say the night's darkest just before the dawn Gets kissed by the day break, got down on my knees   And I prayed, prayed, prayed For a sign, sign, sign Now there it is in the window It's about time, damn time   There's a neon light at the end of the tunnel It ain't all that bright, but even though it's subtle It's got me feeling alright, go on and make it a double  There's a neon light at the end of the tunnel, tunnel, tunnel ",
464,2014,Yellow Flicker Beat,Lorde,"[Produced by Paul Epworth]  [Written by Lorde and Joel Little]    I'm a princess cut from marble, smoother than a storm  And the scars that mark my body, they're silver and gold  My blood is a flood of rubies, precious stones It keeps my veins hot, the fire's found a home in me  I move through town, I'm quiet like a fight  And my necklace is of rope, I tie it and untie it    And now people talk to me, but nothing ever hits home People talk to me, and all the voices just burn holes I'm done with it (Ooh)    This is the start of how it all ends  They used to shout my name, now they whisper it  I'm speeding up and this is the Red, orange, yellow flicker beat sparking up my heart  We're at the start, the colors disappear  I never watch the stars, there's so much down here  So I just try to keep up with them  Red, orange, yellow flicker beat sparking up my heart   I dream all year, but they're not the sweet kinds  And the shivers move down my shoulder blades in double time    And now people talk to me I'm slipping out of reach now People talk to me, and all their faces blur  But I got my fingers laced together and I made a little prison And I'm locking up everyone who ever laid a finger on me I'm done with it (Ooh)    This is the start of how it all ends  They used to shout my name, now they whisper it  I'm speeding up and this is the Red, orange, yellow flicker beat sparking up my heart  We're at the start, the colors disappear  I never watch the stars, there's so much down here  So I just try to keep up with them  Red, orange, yellow flicker beat sparking up my heart    (Ooh, ooh, ooh) And this is the red, orange, yellow flicker beat sparking up my heart (Ooh, ooh, ooh) And this is the red, orange, yellow flicker beat-beat-beat-beat ",
465,2014,Dangerous,David Guetta Featuring Sam Martin,[Pre-Drop 1: Sam Martin] Da-da-dan-dangerous  [Instrumental Drop]  [Drop] Da-da-dan-dangerous  [Instrumental Break]  [Bridge 1: Sam Martin] Oh-oh-oh-oh-oh (Da-da-dan-dangerous) Oh-oh-oh-oh-oh (Da-da-dan-dangerous) Oh-oh-oh-oh-oh (Da-da-dan-dangerous) Oh-oh-oh-oh-oh  [Pre-Drop: Sam Martin] Da-da-dan-dangerous  [Instrumental Drop]  [Drop] Da-da-dan-dangerous ,
466,2014,Sunshine & Whiskey,Frankie Ballard,"[Intro] Every time you kiss me it's like sunshine and whiskey    Chilling on a beach with my sweet Georgia peach Not a care in the world, just trying to beat the heat Body like an hourglass, sand on her feet I can't help but stare cause I got the best seat Just when I thought it couldn't get any hotter you slid on in Said, ""I'm a little hot and bothered, if you know what I mean Let's crank it up to a hundred degrees""   You hit me like fire, shot me like a bullet Burned me up and down, no way to cool it But every time you kiss me it's like sunshine and whiskey  Like a bottle of Jack straight to the head  One shot, two shot, Coppertone red Every time you kiss me it's like sunshine and whiskey   I was slow driving south with the top drop down  Her hair in the wind, Tom Petty up loud  You gave me that look, you licked them lips I said, ""Hang on baby, better pull over for this"" I don't wanna get DWK, driving while kissing they'll put you away   You hit me like fire, shot me like a bullet Burned me up and down, no way to cool it But every time you kiss me it's like sunshine and whiskey  It's like a bottle of Jack straight to the head One shot, two shot, Coppertone red  Every time you kiss me it's like sunshine and whiskey Every time you kiss me it's like sunshine and whiskey Every time you kiss me it's like sunshine and whiskey ",
467,2014,Fireball,Pitbull Featuring John Ryan,"[Intro: Pitbull] Mr. Worldwide to infinity  You know the roof on fire We gon' boogie, oogie-oggie, jiggle, wiggle and dance Like the roof on fire  We gon' drink drinks and take shots until we fall out Like the roof on fire Now, baby, give a booty naked, take off all your clothes And light the roof on fire  Tell her, tell her, ""Baby, baby, baby, baby, baby, baby, baby, baby I'm on fire"" I tell her, ""Baby, baby, baby, baby, baby, baby, baby, baby, baby I'm on fireball""  [Break: Pitbull] Fireball  [Verse 1: Pitbull] I saw, I came, I conquered Or should I say, ""I saw, I conquered, I came"" (Ha-ha)  They say the chico on fire and he no liar While y'all slippin’ he runnin’ the game Now big bang boogie, get that kitty little noogie In a nice, nice little shade I gave Suzie a little pat up on the booty And she turned around and said “Walk this way”  [Chorus: John Ryan & Pitbull] I was born in a flame Momma said that everyone would know my name I'm the best (That's right), you've ever had (That's right) If you think I'm burning out, I never am (Yeah) I'm on fire (Come here) I'm on fire (Come here) I'm on fire (Come here) I'm on fire Fireball   [Break: Pitbull] Fireball  [Verse 2: Pitbull] Sticks and stones may break my bones  But I don’t care what y'all say 'Cause as the world turns, y’all boys gonna learn That chico right here don't play (Ha-ha) That boy’s from the bottom, bottom of the map  M.I.A U.S.A  I gave Suzie a little pat up on the booty And she turned around and said, “Walk this way”   [Chorus: John Ryan & Pitbull] I was born in a flame Momma said that everyone would know my name I'm the best (That's right), you've ever had (That's right) If you think I'm burning out, I never am (Yeah) I'm on fire (Come here) I'm on fire (Come here) I'm on fire (Come here) I'm on fire Fireball ",
468,2014,Burnin' It Down,Jason Aldean,"You slip your finger through the tear in my t-shirt You stirrin' up dirty in the back of my mind You keep on flirtin', 'cause you know that it's workin' You stuck in my head girl writing the lines Couldn't sing this song without you if I tried  Let's light it up like it's our last night   We're just hanging around Burnin' it down Sippin' on some cold Jack Daniel's  Jammin' to some old Alabama with you baby  Laying right here naked in my bed I'm just doing my thing You love it when I sing Say it makes you feel like an angel We about to get a little tangled up right about now So girl let's keep burnin' it down Burnin' it down, burnin' it down   Girl when you want it You know that I'm on it You know that I love lovin' up on you  Let's hit the switch and let our shadows dance And light it up like it's our last chance   We're just hanging around Burnin' it down Sippin' on some cold Jack Daniel's Jammin' to some old Alabama with you baby Laying right here dreamin' in my bed I'm just doing my thing You love it when I sing  Say it makes you feel like an angel We about to get a little tangled up right about now  So girl let's keep burnin' it down Burnin' it down, burnin' it down, burnin' it down Burnin' it down, burnin' it down, burnin' it down   I wanna rock it all night Baby girl will you rock it out with me (with me) I wanna crawl through the dark Just to feel your heartbeat against me (against me) I wanna rock it all night Baby girl will you rock it out with me (with me) I wanna crawl through the dark Just to feel your heartbeat against me (against me)   We're just hanging around Burnin' it down Sippin' on some cold Jack Daniel's  Jammin' to some old Alabama with you baby  Laying right here naked in my bed I'm just doing my thing You love it when I sing Say it makes you feel like an angel We about to get a little tangled up right about now So girl let's keep burnin' it down Burnin' it down, burnin' it down, burnin' it down Burnin' it down, burnin' it down, burnin' it down ",
469,2014,Bed Of Lies,Nicki Minaj Featuring Skylar Grey,"[Intro: Skylar Grey] Oh-oh-oh, yeah  [Chorus: Skylar Grey]  Do you ever think of me when you lie? (When you lie)  Lie down in your bed, your bed of lies  And I knew better than to look in your eyes (In your eyes) They only pretend you would be mine  And, oh, how you made me believe (Oh) You had me caught in every web that you weaved  But do you ever think of me when you lie? (When you lie) Lie down in your bed, your bed of lies   [Verse 1: Nicki Minaj] You could never make eye contact  Everything you got was based off of my contacts  You a fraud but I'ma remain icon-stat Balenciagas on my boots with a python strap  You was caught up in the rush and you was caught up in the thrill of it You was with me way before I hit a quarter mil' in it Put you in the crib and you ain't never pay a bill in it  I was killin' it, now you got me poppin' pills in it  I told Baby hit you, I said, ""This nigga buggin'"" 'Cause I was doin' it for us, I told 'em fuck the public  Couldn't believe that I was home alone, contemplatin' overdosin' No more coastin', no more toastin' over oceans  [Pre-Chorus: Nicki Minaj] They say you don't know what you got 'til it's gone  They say that your darkest hour come before your dawn  But there was something that I shoulda asked all along I'ma ask on the song   [Chorus: Skylar Grey] Do you ever think of me when you lie? (When you lie)  Lie down in your bed, your bed of lies  And I knew better than to look in your eyes (In your eyes) They only pretend you would be mine  And, oh, how you made me believe (Oh) You had me caught in every web that you weaved But do you ever think of me when you lie? (When you lie) Lie down in your bed, your bed of lies   [Verse 2: Nicki Minaj] I just figured if you saw me, if you looked in my eyes You'd remember our connection and be freed from the lies I just figured I was something that you couldn't replace But there was just a blank stare and I couldn't relate I just couldn't understand and I couldn't defend What we had, what we shared, and I couldn't pretend When the tears rolled down, it's like you ain't even notice 'em If you had a heart, I was hopin' that you would show it some What the fuck you really tellin' me? What you tellin' me? I could tell you lyin', get the fuck out, don't yell at me I ain't mean to cut you, I ain't wanna catch a felony  This ain't How To Be A Player, you ain't Bill Bellamy ",
470,2014,Talladega,Eric Church,"It was the summer before the real world started and The deal was we would get to go, if we Cleaned it up, and got it running Daddy’s old Winnebago   Wing and a prayer down 65  Five best friends on four bald tires  I can still see Billy smiling When we finally made it   To Talladega Boys raised up Whiskey in your glass  Here’s to turning up Slowing down And cars that go real fast   We were laughing and living, drinking and wishing And thinking as that checkered flag was waving Sure would like to stay in Talladega   Like a storm, time rolls on You can’t hit pause, that's just the deal Most days in life don’t stand out But life’s about those days that we all like  Rocking Randall Getting rowdy  Shooting roman candles at the man in the moon  ‘til the Alabama sun was breaking   Over Talladega  Boys raised up Whiskey in your glass Here’s to turning up Slowing down  And cars that go real fast   We were laughing and living, drinking and wishing And thinking as that checked flag was waving  Sure would like to stay in Talladega   When the winds go cold And it blows October I think about us shoulder to shoulder Like those cars my thoughts roll over and over and over In my mind   Tonight I’m in Talladega  Boys raised up Whiskey in your glass Here’s to turning up Slowing down And cars that go real fast ",
471,2014,I Bet My Life,Imagine Dragons,"[Intro] (I bet, I bet my life) (I bet, I bet my life) (I bet, I bet my life) (I bet, I bet my life)   I know I took the path That you would never want for me I know I let you down, didn't I?  So many sleepless nights Where you were waiting up on me  Well, I'm just a slave unto the night    (I bet, I bet my life) Now remember when I told you (I) That's the last you'll see of me? (I) Remember when I broke you down to tears? (I) (Woo-oooo-ooh, I bet, I bet my life) I know I took the path That you would never want for me (I) I gave you hell through all the years (I)   So I, I bet my life I bet my life I bet my life on you I, I bet my life I bet my life I bet my life on you   I've been around the world And never in my wildest dreams Would I come runnin' home to you (I bet, I bet my life) I've told a million lies (I) But now I tell a single truth (I) There's you in everything I do (I) (Woo-oooo-ooh)   Now remember when I told you That's the last you'll see of me? Remember when I broke you down to tears?  I know I took the path That you would never want for me  I gave you hell through all the years    So I, I bet my life I bet my life I bet my life on you I, I bet my life I bet my life I bet my life on you ",
472,2014,Sun Daze,Florida Georgia Line,"[Intro] Alright Make you wanna dance, don't it, baby?   I'm gonna wear my flip-flops and I'm gonna play some flip-cup and Rock a little bit of hip-hop and Haggard and Jagger And throw a 20 on the corn hole game  [Album version:] If I'm lucky, yeah, I might get laid [Single version:] If I'm lucky, yeah, I might get paid The way that it's goin', the keg gon' be floatin'    [Album version:]All I wanna do today is wear my favorite shades and get stoned  [Single version:] All I wanna do today is wear my favorite shades and stay home Work a little less, play a little more  That's what this day is for And all I wanna do is lace my J's and lace some Jack in my Coke  Work on my laid back, ain't nothin' wrong With gettin' my sun daze on Gettin' my sun daze on   Girl, you know you're the life of my party You can stay and keep sippin' Bacardi Stir it up as we turn on some Marley  If you want you can pet on my Harley  I sit you up on a kitchen sink Stick the pink umbrella in your drink  The way that we're feelin', we gone by this evenin'   [Album version:] All I wanna do today is wear my favorite shades and get stoned  [Single version:] All I wanna do today is wear my favorite shades and stay home Work a little less, play a little more  That's what this day is for And all I wanna do is lace my J's and lace some Jack in my Coke  Work on my laid back, ain't nothin' wrong With gettin' my sun daze on Gettin' my sun daze on [Instrumental Break]   [Album version:] All I wanna do today is wear my favorite shades and get stoned  [Single version:] All I wanna do today is wear my favorite shades and stay home Work a little less, play a little more  That's what this day is for And all I wanna do is lace my J's and lace some Jack in my Coke  Work on my laid back, ain't nothin' wrong With gettin' my sun daze on Gettin' my sun daze on ",
473,2014,Try,Colbie Caillat,"Put your make-up on Get your nails done Curl your hair Run the extra mile Keep it slim so they like you Do they like you?  Get your sexy on Don't be shy, girl Take it off This is what you want, to belong, so they like you  Do you like you?   [Chorus 1] You don't have to try so hard  You don't have to give it all away  You just have to get up, get up, get up, get up  You don't have to change a single thing    You don't have to try, try, try, try You don't have to try, try, try, try You don't have to try, try, try, try You don't have to try You don't have to try Mmm, mmm, mmm   Get your shopping on, at the mall, max your credit cards You don't have to choose, buy it all, so they like you  Do they like you?  Wait a second Why, should you care, what they think of you? When you're all alone, by yourself, do you like you?  Do you like you?   [Chorus 1] You don't have to try so hard You don't have to give it all away You just have to get up, get up, get up, get up You don't have to change a single thing  You don't have to try so hard You don't have to bend until you break  You just have to get up, get up, get up, get up You don't have to change a single thing   You don't have to try, try, try, try You don't have to try, try, try, try You don't have to try, try, try, try You don't have to try No, you don't have to try, try, try, try You don't have to try, try, try, try You don't have to try, try, try, try You don't have to try You don't have to try Mmm, mmm ",
474,2014,No Love,August Alsina,"[Intro: Nicki Minaj, August Alsina] August, Young Money  She said she wanna stay together I don't think I can, no I swear this is my favorite song, hahahaha I’m serious, rrrrr   [Verse 1: August Alsina] Red light, you know I can't make this thing that official Believe, we had a great night but I ain't the type to tell you that I miss you, shit You don't like that, I make this easy, leaving After sexing on the floor Baby, I know you need me like I need you But I'm not the one you wanna love  [Pre-Chorus: August Alsina] So just pop a couple bands with a nigga like me Loving ain't the same with a nigga like me You used to them but ain't no loving me I hear what you would say and girl, it's clear to see You should just drink a couple drinks with a nigga like me You probably go insane with a nigga like me Let's just party 'til we can't, ain't no loving me And I'm the one to blame, ain't no loving me  [Chorus: August Alsina] So don't come looking for love Oh, no love, no love, no love, no love, no love, no love, no love, no love, no love Don't come looking for love Oh, no love, no love, no love, no love, no love, no love, no love, no love, no love  [Verse 2: August Alsina] Shawty, if you looking for somebody trying to settle down Probably won't be around, nah baby You should hit me when you tired of playing up in the house And ain't nobody around, you need that When you need that late night We can both make love to the daylight You got it, girl, you got it, girl But you know I can't stay, right? Uh, nah babe All I want is you so what you tryna do?  [Pre-Chorus: August Alsina] So just pop a couple bands with a nigga like me Loving ain't the same with a nigga like You used to them but ain't no loving me I hear what you would say and girl, it's clear to see You should just drink a couple drinks with a nigga like me You probably go insane with a nigga like me Let's just party 'til we can't, ain't no loving me And I'm the one to blame, ain't no loving me  [Chorus: August Alsina] So don't come looking for love Oh, no love, no love, no love, no love, no love, no love, no love, no love, no love Don't come looking for love Oh, no love, no love, no love, no love, no love, no love, no love, no love, no love ",
475,2014,Look At You,Big & Rich,"Baby when I look at you, with them baby blues Cuttin' right through me You set me on the rewind, back to the good times When you couldn't get enough of me I guess I givin' myself away Sayin' all the things I never did say I lose myself, there's nothing else I can do Baby, when I look at you  Yeah, baby when I look at you  Last thing I thought I'd see was You across the bar from me And holdin' on to that turkey bottle Shootin' em down, and runnin' full throttle Oh I can still taste the last time You and me and nothin' but the tan lines Keeps runnin' through my my mind On and on and on and on and  Baby when I look at you, with them baby blues Cuttin' right through me You set me on the rewind, back to the good times When you couldn't get enough of me I guess I givin' myself away Sayin' all the things I never did say I lose myself, there's nothing else I can do Baby, when I look at you  Yeah, baby when I look at you  Well I know you know I'm a watchin' Your low cut on the dance floor rockin' Got the whole place worked up and locked in With every move so sexy it's shockin' Girl you sure do know how to serve it The way I did ya Lord I deserve it You know my heart, you know how to hurt it  On and on and on and on and  Baby when I look at you, with them baby blues Cuttin' right through me You set me on the rewind, back to the good times When you couldn't get enough of me I guess I givin' myself away Sayin' all the things I never did say I lose myself, there's nothing else I can do Baby, when I look at you  Yeah, baby when I look at you  Well, I could start a tab and run it up Or close it out and head to my truck And drive away as fast as I can And forget we ever loved ",
476,2014,CoCo,O.T. Genasis,"[Intro] (Juice808)   I'm in love with the coco (Coco) I'm in love with the coco (Coco) I got it for the low, low I'm in love with the coco (Coco) I'm in love with the coco (Cocaína) I'm in love with the coco (Coco) I got it for the low, low (Turn up!) I'm in love with the coco    Hit my plug, that's my cholo (Mi amigo) Cause he got it for the low, low  If you snitchin' I go loco (Go crazy) Hit you with that treinta ocho (Pah, pah)  Niggas thinkin' that I'm solo Fifty deep, they like, ""Oh, no"" (No, no, no, please, no)  Heard the feds takin' photos I know nothin', fuck the po-po     Bakin' soda, I got bakin' soda Bakin' soda, I got bakin' soda Whip it through the glass, nigga (Woo, woo, woo, woo) I'm blowin' money fast, nigga (Woo, woo, woo, woo)   I'm in love with the coco (Coco) I'm in love with the coco (Coco) I got it for the low, low I'm in love with the coco (Coco) I'm in love with the coco (Cocaína) I'm in love with the coco (Coco) I got it for the low, low (Turn up!) I'm in love with the coco    36, that's a kilo (Aquí) Need a brick, miss my free throw (They white)  I'm in love, just like Ne-Yo  Bustin' shots, now he Neo (Matrix)  Free my homies, fuck the C.O. (Puto) Fuck the judge, fuck my P.O. (Puto)  All this coke, like I'm Nino  Water whip, like I'm Nemo     Bakin' soda, I got bakin' soda Bakin' soda, I got bakin' soda Whip it through the glass, nigga (Woo, woo, woo, woo) I'm blowin' money fast, nigga (Woo, woo, woo, woo) ",
477,2014,Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,,
478,2014,Dirt,Florida Georgia Line,"[Intro: Music Video Only] I'll tell you something, 1968 was just another year, the fields needed tilling and there wasn't enough rain. But it was the first year Rosie started bringing my lunch out to the field every day    You get your hands in it Plant your roots in it Dusty headlight, dance with your boots in it (Dirt)  You write her name on it Spin your tires on it Build your corn field, whiskey, bonfires on it (Dirt) You bet your life on it, yeah It's that...    Elm shade, red rust clay you grew up on  That plowed up ground, that your dad damned his luck on  That post game party field you circle up on  And when it rains you get stuck on  Drift a cloud back behind county roads that you run up  And mud on her jeans that she peeled off and hung up  Her blue-eyed summertime smile looks so good that it hurts Makes you wanna build a 10 percent down white picket fence house on this dirt   [Music Video Interlude 1] Rosie and I had five children, one died at birth, they were tough times, tough years, did okay   You've mixed some sweat with it Taking a shovel to it You've stuck some crosses and some painted Goal posts through it (Dirt) You know you came from it (Dirt) And some day you'll return to...   [Chorus ] Elm shade, red rust clay you grew up on  That plowed up ground, that your dad damned his luck on  That post game party field you circle up on  And when it rains you get stuck on  Drift a cloud back behind county roads that you run up  And mud on her jeans that she peeled off and hung up  Her blue-eyed summertime smile looks so good that it hurts Makes you wanna build a 10 percent down white picket fence house on this dirt   [Music Video Interlude 2] I asked Rosie one time if she wanted to travel to see the world, and no she said ""the world comes right to my window every day""... Even if it's broken (You know you came from it (dirt, dirt) And some day you'll return to)   Elm shade, red rust clay you grew up on  That plowed up ground, that your dad damned his luck on  That post game party field you circle up on  And when it rains, you get stuck on  Drift a cloud back behind county roads that you run up  And mud on her jeans that she peeled off and hung up  Her blue-eyed summertime smile looks so good that it hurts Makes you wanna build a 10 percent down white picket fence house on this dirt ",
479,2014,Close Your Eyes,Parmalee,"Well take a look at what's left in that sunset Fireflies popping like the Fourth of July, yeah You're gonna wanna see every single thing I'm gonna show you tonight Got the perfect scene set of a moonlight glowing Just keep them baby blues wide open Girl take a look around, yeah it's going down It's going down just right   Hey baby fore the night gets any older Lean your pretty self over here a little closer I need to hold ya I wanna show ya what you don't wanna miss, no It's all getting to what we've been waiting on I'm gonna go and turn you and the night on Coming on strong, I'm gonna lay it on your lips Might wanna close your eyes for this   Sun gone down, nights are getting hotter We've got this bed backed up to the water Yeah it's the place to be if you wanna see every little shining star But that view ain't nothing like the you I'm lookin at Two tan legs for days dangling off the back It all looks better baby you can see forever when you're here in my arms   Hey baby fore the night gets any older Lean your pretty self over here a little closer I need to hold ya I wanna show ya what you don't wanna miss, no It's all getting to what we've been waiting on I'm gonna go and turn you and the night on Coming on strong, I'm gonna lay it on your lips Might wanna close your eyes for this   Just when you thought you had seen it all Well it turns out you don't have to see it all   Hey baby fore the night gets any older Lean your pretty self over here a little closer I need to hold ya I wanna show ya what you don't wanna miss, no It's all getting to what we've been waiting on I'm gonna go and turn you and the night on Coming on strong, I'm gonna lay it on your lips Might wanna close your eyes for this Might wanna close your eyes for this Hey pretty girl might wanna close your eyes for this Close your eyes for this ",
